accounting_standard,credit_rating,credit_score,edinet_code,industry,name,sec_code
JP,A,75,E03147,小売業,株式会社銀座ルノアール,98530
JP,A,78,E03507,小売業,株式会社銚子丸,30750
JP,C,45,E00069,建設業,株式会社錢高組,18110
JP,S,88,E31871,サービス業,株式会社鎌倉新書,61840
JP,S,85,E01659,金属製品,株式会社長府製作所,59460
JP,A,75,E37141,不動産業,株式会社長栄,29930
JP,D,30,E35493,倉庫・運輸関連,株式会社関通,93260
JP,A,78,E03457,小売業,株式会社関門海,33720
JP,S,93,E00074,建設業,株式会社関電工,19420
JP,C,50,E03587,銀行業,株式会社阿波銀行,83880
JP,C,40,E39162,情報・通信業,株式会社雨風太陽,56160
JP,S,93,E01544,機械,株式会社電業社機械製作所,63650
JP,S,93,E24457,情報・通信業,株式会社電算,36400
JP,S,80,E36460,情報・通信業,株式会社電算システムホールディングス,40720
IFRS,C,55,E04760,サービス業,株式会社電通グループ,43240
JP,S,93,E05147,情報・通信業,株式会社電通総研,48120
JP,S,83,E05407,不動産業,株式会社青山財産ネットワークス,89290
JP,S,85,E25206,情報・通信業,株式会社駅探,36460
JP,B,65,E01362,金属製品,株式会社駒井ハルテック,59150
JP,C,45,E03664,銀行業,株式会社高知銀行,84160
JP,S,83,E02025,機械,株式会社高見沢サイバネティックス,64240
JP,S,80,E01208,卸売業,株式会社高見澤,52830
JP,S,85,E02850,卸売業,株式会社高速,75040
JP,S,83,E03013,小売業,株式会社髙島屋,82330
JP,S,85,E00285,建設業,株式会社髙松コンストラクショングループ,17620
JP,S,93,E39133,小売業,株式会社魁力屋,58910
JP,S,90,E03310,小売業,株式会社魚力,75960
JP,B,60,E03365,小売業,株式会社魚喜,26830
JP,B,63,E02833,卸売業,株式会社鳥羽洋行,74720
JP,A,75,E01204,ガラス・土石製品,株式会社鶴弥,53860
JP,S,95,E01662,機械,株式会社鶴見製作所,63510
JP,S,93,E02344,精密機器,株式会社Ａ＆Ｄホロンホールディングス,77450
IFRS,A,78,E37038,サービス業,株式会社ＡＢ＆Ｃｏｍｐａｎｙ,92510
JP,S,83,E38109,情報・通信業,株式会社ＡＢＥＪＡ,55740
JP,C,50,E05168,情報・通信業,株式会社ＡＣＣＥＳＳ,48130
JP,E,15,E34514,機械,株式会社ＡＣＳＬ,62320
JP,A,78,E35340,不動産業,株式会社ＡＤワークスグループ,29820
JP,S,93,E00878,化学,株式会社ＡＤＥＫＡ,44010
JP,A,73,E01064,食料品,株式会社ＡＦＣ－ＨＤアムスライフサイエンス,29270
JP,S,93,E01663,機械,株式会社ＡＩＲＭＡＮ,63640
JP,C,45,E02045,電気機器,株式会社ＡＫＩＢＡホールディングス,68400
JP,S,80,E35288,サービス業,株式会社ＡＬｉＮＫインターネット,70770
JP,C,40,E30020,小売業,株式会社ＡＮＡＰホールディングス,31890
JP,S,93,E03116,小売業,株式会社ＡＯＫＩホールディングス,82140
JP,S,85,E04039,不動産業,株式会社ＡＳＩＡＮ　ＳＴＡＲ,89460
IFRS,A,78,E05324,情報・通信業,株式会社ＡＳＪ,23510
JP,B,60,E35797,サービス業,株式会社ＡＳＮＯＶＡ,92230
JP,A,70,E00311,不動産業,株式会社ＡＶＡＮＴＩＡ,89040
JP,S,85,E38949,情報・通信業,株式会社ＡＶＩＬＥＮ,55910
JP,S,95,E37744,サービス業,株式会社ＡＶｉＣ,95540
JP,C,50,E31348,情報・通信業,株式会社Ａｉｍｉｎｇ,39110
JP,D,30,E34497,情報・通信業,株式会社Ａｍａｚｉａ,44240
JP,B,65,E31284,不動産業,株式会社Ａｎｄ　Ｄｏホールディングス,34570
JP,S,83,E05524,サービス業,株式会社ＡｏｂａーＢＢＴ,24640
JP,S,95,E38472,情報・通信業,株式会社Ａｒｅｎｔ,52540
JP,S,88,E04399,情報・通信業,株式会社ＢＳＮメディアホールディングス,94080
JP,A,70,E38191,情報・通信業,株式会社ＢＴＭ,52470
JP,S,83,E36937,情報・通信業,株式会社ＢｅｅＸ,42700
JP,E,15,E34748,サービス業,株式会社Ｂｉｒｄｍａｎ,70630
JP,C,55,E36653,情報・通信業,株式会社ＢｌｕｅＭｅｍｅ,40690
JP,B,68,E35116,卸売業,株式会社ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,76850
JP,S,85,E02120,電気機器,株式会社Ｃ＆Ｇシステムズ,66330
JP,S,88,E05036,情報・通信業,株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,47250
JP,A,70,E05331,情報・通信業,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,23150
JP,S,85,E03252,小売業,株式会社ＣＡＰＩＴＡ,74620
JP,S,93,E05233,情報・通信業,株式会社ＣＥホールディングス,43200
JP,S,93,E05163,情報・通信業,株式会社ＣＩＪ,48260
JP,C,50,E36989,情報・通信業,株式会社ＣＩＮＣ,43780
JP,S,88,E01321,非鉄金属,株式会社ＣＫサンエツ,57570
IFRS,A,75,E05199,サービス業,株式会社ＣＬホールディングス,42860
JP,S,95,E30996,情報・通信業,株式会社ＣＲＩ・ミドルウェア,36980
JP,A,70,E37199,情報・通信業,株式会社ＣＳ－Ｃ,92580
JP,A,75,E05288,サービス業,株式会社ＣＳＳホールディングス,23040
JP,A,70,E37432,サービス業,株式会社ＣａＳｙ,92150
JP,A,73,E33485,その他金融業,株式会社Ｃａｓａ,71960
JP,C,55,E26290,卸売業,株式会社Ｃｏｍｉｎｉｘ,31730
JP,C,55,E39646,その他金融業,株式会社Ｄ＆Ｍカンパニー,189A0
JP,S,88,E04861,情報・通信業,株式会社ＤＴＳ,96820
JP,C,40,E05175,サービス業,株式会社Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,48330
JP,B,65,E38169,情報・通信業,株式会社ＥＬＥＭＥＮＴＳ,52460
JP,C,48,E39677,建設業,株式会社ＥＴＳグループ,253A0
JP,C,58,E34544,情報・通信業,株式会社ＥｄｕＬａｂ,44270
JP,S,95,E36638,サービス業,株式会社Ｅｎｊｉｎ,73700
JP,S,88,E38007,サービス業,株式会社ＦＣＥ,95640
JP,S,90,E30877,情報・通信業,株式会社ＦＦＲＩセキュリティ,36920
JP,C,40,E37959,情報・通信業,株式会社ＦＩＸＥＲ,51290
JP,B,68,E04032,不動産業,株式会社ＦＪネクストホールディングス,89350
IFRS,A,73,E33000,小売業,株式会社ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,35630
JP,S,83,E37913,保険業,株式会社ＦＰパートナー,73880
JP,S,85,E24651,証券、商品先物取引業,株式会社ＦＰＧ,71480
JP,B,68,E05700,サービス業,株式会社ＦＲＯＮＴＥＯ,21580
JP,S,88,E01495,機械,株式会社ＦＵＪＩ,61340
JP,C,50,E34471,建設業,株式会社ＦＵＪＩジャパン,14490
JP,S,83,E41081,証券、商品先物取引業,株式会社ＦＵＮＤＩＮＮＯ,462A0
JP,S,88,E39778,情報・通信業,株式会社Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,220A0
JP,S,100,E35318,サービス業,株式会社Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,70920
JP,C,53,E37145,サービス業,株式会社Ｆｉｎａｔｅｘｔホールディングス,44190
JP,S,93,E38460,情報・通信業,株式会社Ｆｕｓｉｃ,52560
JP,A,75,E03267,小売業,株式会社Ｇ‐７ホールディングス,75080
IFRS,S,80,E34177,不動産業,株式会社ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,34910
JP,A,78,E38739,サービス業,株式会社ＧＥＮＤＡ,91660
JP,S,100,E38215,サービス業,株式会社ＧＥＮＯＶＡ,93410
JP,B,60,E36988,サービス業,株式会社ＧＲＣＳ,92500
JP,S,88,E38685,情報・通信業,株式会社ＧＳＩ,55790
JP,A,75,E02549,卸売業,株式会社ＧＳＩクレオス,81010
JP,C,45,E33254,情報・通信業,株式会社ＧａｍｅＷｉｔｈ,65520
JP,S,83,E03176,小売業,株式会社Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,98280
JP,S,88,E36312,情報・通信業,株式会社Ｇｅｏｌｏｃａｔｉｏｎ　Ｔｅｃｈｎｏｌｏｇｙ,40180
JP,S,90,E38662,情報・通信業,株式会社Ｇｌｏｂｅｅ,55750
JP,C,53,E31454,サービス業,株式会社Ｇｕｎｏｓｙ,60470
JP,S,80,E33602,サービス業,株式会社ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,65610
JP,A,78,E35928,化学,株式会社Ｉ－ｎｅ,49330
